"","condition","icnarcCode","surgicalCode","medicalCode","tailCode","duplicateCode","system","site","process","conditionTier","admission_freq"
"1","Pneumonia, no organism","RE94","1.1.4.27.5","2.1.4.27.5","1.4.27.5",0,"Respiratory",4,"Infection",5,4727
"2","Bacterial pneumonia","RE82","1.1.4.27.1","2.1.4.27.1","1.4.27.1",0,"Respiratory",4,"Infection",1,1919
"3","Septic shock","CA99","1.2.12.35.2","2.2.12.35.2","2.12.35.2",0,"Cardiovascular",12,"Shock and hypotension",2,1484
"4","Status epilepticus or uncontrolled seizures","NE57","1.1.10.33.1","2.1.10.33.1","1.10.33.1",1,"Respiratory",10,"Seizures",1,1290
"5","Acute myocardial infarction","CA8","1.2.1.30.1","2.2.1.30.1","2.1.30.1",1,"Cardiovascular",1,"Obstruction",1,1259
"6","Intracerebral bleeding","NE21","1.1.10.15.1","2.1.10.15.1","1.10.15.1",1,"Respiratory",10,"Haemorrhage",1,988
"7","diabetic ketoacidosis","NE35","","","4.2.15.2",NA,"",NA,"",NA,970
"8","Subarachnoid bleeding","NE35","1.1.10.15.2","2.1.10.15.2","1.10.15.2",1,"Respiratory",10,"Haemorrhage",2,970
"9","Acute renal failure other causes","GE7","1.7.1.13.4","2.7.1.13.4","7.1.13.4",0,"Genito-urinary",1,"Failure",4,934
"10","CABG for chronic angina","CA20","1.2.1.30.6","2.2.1.30.6","2.1.30.6",0,"Cardiovascular",1,"Obstruction",6,813
"11","Diabetic ketoacidosis","EN20","1.8.4.10.1","2.8.4.10.1","8.4.10.1",2,"Endocrine, Metabolic, Thermoregulation and Poisoning",4,"Diabetes mellitus",1,794
"12","Ventricular tachycardia or fibrillation","CA124","1.2.5.32.2","2.2.5.32.2","2.5.32.2",0,"Cardiovascular",5,"Over-activity",2,753
"13","Asthma attack in new or known asthmatic","RE11","1.1.2.30.1","2.1.2.30.1","1.2.30.1",0,"Respiratory",2,"Obstruction",1,750
"14","Abdominal aortic aneurysm, not ruptured","CA143","","","",NA,"",NA,"",NA,750
"15","Chronic obstructive pulmonary disease with acute exacerbation, unspecified","RE117","","","",NA,"",NA,"",NA,734
"16","Rheumatoid or osteoarthritis","MU20","1.10.1.8.1","2.10.1.8.1","10.1.8.1",1,"Musculoskeletal",1,"Congenital or acquired deformity or abnormality",1,732
"17","Acute renal failure due to infection","GE5","1.7.1.13.1","2.7.1.13.1","7.1.13.1",0,"Genito-urinary",1,"Failure",1,706
"18","Primary brain or meningeal tumour","NE29","1.1.10.39.1","2.1.10.39.1","1.10.39.1",1,"Respiratory",10,"Tumour or malignancy",1,641
"19","Traumatic subdural haemorrhage","NE75","","","",NA,"",NA,"",NA,503
"20","Primary brain injury","NE54","1.1.10.7.7","2.1.10.7.7","1.10.7.7",4,"Respiratory",10,"Coma or encephalopathy",7,497
"21","Cardiogenic shock","CA21","1.2.2.13.4","2.2.2.13.4","2.2.13.4",2,"Cardiovascular",2,"Failure",4,486
"22","Cardiogenic pulmonary oedema","RE19","1.1.4.31.9","2.1.4.31.9","1.4.31.9",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",9,470
"23","Malignant neoplasm of the oesophagus","GA92","","","",NA,"",NA,"",NA,469
"24","Anoxic or ischaemic coma or encephalopathy","RE8","1.1.10.7.3","2.1.10.7.3","1.10.7.3",1,"Respiratory",10,"Coma or encephalopathy",3,445
"25","Abdominal aortic aneurysm, ruptured","CA144","","","",NA,"",NA,"",NA,428
